subject,event_type,vox,magnitude,magnitude_ix,fwhm,fwhm_obj,time_to_peak,half_rise_time,half_max,rise_slope,onset_time,positive_area,undershoot,1st_deriv_magnitude,1st_deriv_time_to_peak,2nd_deriv_magnitude,2nd_deriv_time_to_peak
015,act,9,1.7439660344468404,1156,3.9022114282097546,<linescanning.fitting.FWHM object at 0x7fae13b499a0>,4.069,2.3019420498343774,0.8719830172234202,0.7840076695797503,1.1908548285733267,6.786863298634635,2.5474229946529405,0.8232347782506793,2.2840000000000007,0.6467971471224274,1.2392500000000002
015,act,10,1.8811959402860765,1197,4.108786989483113,<linescanning.fitting.FWHM object at 0x7fae208d3d30>,4.28425,2.4203143325706473,0.9405979701430383,0.8023996225716437,1.2494175687414801,7.706413746579564,2.766346176586453,0.8428065674638674,2.3995000000000006,0.6307271769323464,1.2970000000000002
015,act,11,1.9679117779101176,1242,4.278041124037808,<linescanning.fitting.FWHM object at 0x7fae13b492e0>,4.5205,2.564713487085458,0.9839558889550588,0.7966472968347942,1.330626548414195,8.392587866904565,2.9308237027595787,0.836682672251257,2.5465,0.590529870344227,1.3810000000000002
015,act,12,1.8739568967697724,1309,4.4292685715584765,<linescanning.fitting.FWHM object at 0x7fae13b49700>,4.87225,2.825262426021556,0.9369784483848862,0.7131514013426936,1.5106611557790297,8.282487297465954,2.835792190458489,0.7492361193079091,2.82475,0.48224146253381406,1.5910000000000002
015,act,13,1.846399915816913,1381,4.467641389656762,<linescanning.fitting.FWHM object at 0x7fae13b49370>,5.25025,3.1750056554737873,0.9231999579084565,0.6881193014437054,1.8314171513389037,8.239596848363954,2.8079678092616582,0.7232708069321347,3.1922500000000005,0.4469959690919225,1.9375000000000004
015,act,14,1.8014074338224968,1367,4.468980476525477,<linescanning.fitting.FWHM object at 0x7fae3d2e96d0>,5.17675,3.0999363510412405,0.9007037169112484,0.670580326035406,1.7546937000907306,8.041825016422962,2.7402085663859364,0.7050452535358005,3.1187500000000004,0.43492413676035824,1.8640000000000003
015,act,15,1.7583070846305104,1321,4.443722657368481,<linescanning.fitting.FWHM object at 0x7fae2079d0d0>,4.935250000000001,2.8773212031241058,0.8791535423152552,0.6642699598577535,1.5527645698444346,7.798883073855776,2.665598274251954,0.6979082419963163,2.8825000000000003,0.4431120411731513,1.6382500000000002
015,act,16,1.7591617580426564,1287,4.392186217114341,<linescanning.fitting.FWHM object at 0x7fae2079d760>,4.75675,2.731898074524779,0.8795808790213282,0.6813237422611983,1.4409414635112252,7.706358108830076,2.650500246997848,0.7155018238223505,2.7250000000000005,0.47428131427602693,1.5070000000000001
015,act,17,1.820302839693867,1294,4.40450476371503,<linescanning.fitting.FWHM object at 0x7fae13b7f520>,4.793500000000001,2.7588066599105328,0.9101514198469335,0.7010469231222435,1.4603580039299513,7.9975869487210245,2.746484926583047,0.736314060206837,2.7565,0.4836839686810279,1.528
015,act,18,1.8819834561779647,1300,4.415015962316621,<linescanning.fitting.FWHM object at 0x7fae138ecb80>,4.825,2.7845736983463594,0.9409917280889823,0.7213737364388044,1.4797109963240325,8.289398851198747,2.8430465121397623,0.7575901535393257,2.78275,0.4935684257048294,1.5542500000000001
